GoldsteinScale,Avgtone,NumMentions
6.0,-0.016975,498
6.0,-0.016975,332
-2.0,-2.03503,270
-0.4,-4.87172,264
7.0,-2.71005,246
-2.0,-4.13287,240
4.0,0.00994168,230
-2.0,-4.42557,224
0.0,-6.99252,190
7.0,-3.38578,188
-7.0,-2.98219,186
4.0,0.00994168,184
1.9,-0.90261,182
2.8,-0.90261,182
0.0,2.16303,174
-2.0,-1.71554,160
-5.0,-3.90498,156
-5.0,-4.01838,156
3.4,-2.14723,155
-5.0,-2.79363,152
-2.0,-4.32694,150
2.8,-4.93582,150
5.0,-3.48544,144
-2.0,-4.1955,144
4.0,-1.16125,138
-2.0,-4.74695,135
4.0,1.2289,133
1.9,-5.23682,133
1.9,1.36519,132
3.5,-2.62882,132
